,age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
67,33,1,0,6,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
68,56,1,0,4,0,1,0,0.0,5,1,2,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
69,44,2,1,1,0,1,1,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
70,41,5,0,3,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
71,44,5,2,6,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
72,47,1,0,6,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
73,57,1,0,6,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
74,37,1,0,6,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
75,41,2,2,1,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,1
76,55,3,0,6,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
77,33,4,0,2,0,1,0,0.0,5,1,2,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
78,55,5,0,6,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
79,42,2,0,4,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
80,50,2,0,1,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
81,51,2,0,1,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
82,38,1,0,2,0,0,0,0.0,5,1,2,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
83,49,7,0,6,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,1
84,38,3,1,6,0,0,1,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
85,31,1,2,2,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
86,41,5,0,3,0,0,0,0.0,5,1,2,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
87,39,1,0,6,0,1,1,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
88,49,3,0,4,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,1
89,34,1,0,2,0,1,0,0.0,5,1,2,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
90,35,1,0,6,0,1,0,0.0,5,1,2,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
91,57,1,0,6,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
92,60,1,0,6,0,0,1,0.0,5,1,2,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
93,33,10,0,4,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
94,42,2,0,3,0,0,1,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
95,45,4,0,5,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
96,42,5,0,6,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
97,53,1,2,6,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
98,37,3,1,5,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
99,44,2,0,3,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
100,54,4,0,6,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
101,49,2,0,1,0,0,0,0.0,5,1,3,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
102,54,4,0,6,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
103,52,1,2,6,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
104,52,1,2,6,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
105,43,4,1,2,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
106,34,9,0,3,0,1,0,0.0,5,1,2,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
107,35,1,0,2,0,1,0,0.0,5,1,2,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
108,42,7,0,6,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
109,43,3,0,6,0,1,1,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
110,60,6,2,6,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
111,58,10,0,1,0,0,0,0.0,5,1,2,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
112,35,4,2,2,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
113,55,2,0,4,0,1,0,0.0,5,1,2,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
114,37,5,0,6,0,0,0,0.0,5,1,2,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
115,36,2,0,2,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
116,52,1,2,6,0,0,0,0.0,5,1,2,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
117,57,2,2,6,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
118,56,1,0,6,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
119,48,2,2,1,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
120,40,2,0,2,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
121,49,2,2,2,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
122,41,4,0,2,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
123,45,3,0,2,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
124,32,1,0,6,0,1,1,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
125,42,1,0,6,0,0,1,0.0,5,1,2,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
126,50,1,0,3,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
127,31,3,2,5,0,1,1,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
128,56,6,0,1,0,1,0,0.0,5,1,2,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
129,41,3,0,5,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,1
130,37,2,0,3,0,1,1,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
131,41,3,0,5,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
132,35,2,0,6,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
133,37,2,0,3,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
134,52,5,0,6,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
135,39,5,2,6,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
136,39,9,0,1,0,0,0,0.0,5,1,2,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
137,56,2,0,1,0,0,0,0.0,5,1,2,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
138,34,4,0,2,0,1,0,0.0,5,1,2,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
139,45,2,0,4,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,1
140,43,10,1,6,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
141,56,5,0,6,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
142,39,5,0,6,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
143,53,2,0,1,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
144,38,1,2,2,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
145,42,2,0,1,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
146,42,2,0,1,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
147,35,1,1,2,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
148,40,1,0,6,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
149,51,2,0,1,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
150,60,2,0,4,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
151,56,7,0,6,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
152,39,4,2,2,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
153,56,7,0,6,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
154,40,2,0,6,0,1,1,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
155,36,2,0,4,0,1,1,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
156,51,2,0,6,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
157,51,2,0,6,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
158,43,3,1,5,0,1,0,0.0,5,1,2,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
159,59,4,0,2,0,0,0,0.0,5,1,2,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
160,24,5,1,6,0,1,0,0.0,5,1,2,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
161,37,2,1,4,0,1,1,0.0,5,1,2,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
162,40,2,0,4,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
163,42,2,0,4,0,0,0,0.0,5,1,3,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
164,39,4,2,2,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
165,37,7,0,3,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
166,38,4,0,2,0,1,1,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
167,56,1,2,6,0,0,0,0.0,5,1,2,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
168,40,2,0,6,0,0,0,0.0,5,1,2,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
169,54,5,2,6,0,1,0,0.0,5,1,2,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
170,43,2,0,2,0,0,1,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
171,36,4,0,2,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
172,45,3,0,6,0,1,1,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
173,42,1,1,6,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
174,43,4,0,2,0,0,0,0.0,5,1,3,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
175,46,5,0,4,0,0,0,0.0,5,1,2,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
176,44,4,0,2,0,1,1,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
177,51,1,1,3,0,0,0,0.0,5,1,2,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
178,28,4,0,2,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
179,37,2,0,4,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
180,34,3,0,2,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
181,46,2,0,3,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
182,42,2,0,4,0,1,1,0.0,5,1,2,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,1
183,36,1,0,6,0,1,0,0.0,5,1,3,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
184,54,2,0,1,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
185,57,5,0,6,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
186,51,3,0,3,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
187,54,6,0,2,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
188,49,2,0,1,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
189,34,1,0,6,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
190,41,3,0,5,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
191,38,2,1,4,0,1,0,0.0,5,1,2,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
192,45,5,2,6,0,0,0,0.0,5,1,2,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
193,42,3,0,6,0,0,0,0.0,5,1,2,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
194,34,2,1,4,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
195,48,2,0,1,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
196,37,1,0,2,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
197,34,2,1,4,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
198,40,1,0,4,0,1,0,0.0,5,1,2,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
199,43,2,0,3,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
200,33,4,0,2,0,0,0,0.0,5,1,2,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
201,32,4,1,3,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
202,39,2,0,2,0,1,0,0.0,5,1,2,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
203,43,1,0,6,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
204,44,2,0,4,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
205,35,11,1,6,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
206,35,11,1,6,0,1,1,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
207,35,10,0,5,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
208,36,4,1,1,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
209,35,11,1,6,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
210,36,11,1,4,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
211,55,9,2,6,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
212,59,1,0,6,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
213,57,6,0,6,0,0,0,0.0,5,1,2,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
214,39,2,0,5,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
215,39,9,0,1,0,1,0,0.0,5,1,2,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
216,30,2,1,6,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
217,30,2,1,6,0,1,1,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
218,50,9,0,1,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
219,40,4,0,2,0,0,0,0.0,5,1,3,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
220,35,1,0,2,0,1,0,0.0,5,1,2,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
221,43,3,0,6,0,0,0,0.0,5,1,2,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
222,36,4,1,3,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
223,46,3,0,1,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
224,40,3,0,4,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
225,58,6,0,6,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
226,42,3,0,6,0,0,0,0.0,5,1,2,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
227,35,1,1,6,0,0,0,0.0,5,1,2,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
228,43,6,0,1,0,0,0,0.0,5,1,3,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
229,45,2,0,1,0,1,1,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
230,39,1,0,5,0,1,0,0.0,5,1,2,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
231,50,4,2,5,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
232,32,5,2,1,0,1,0,0.0,5,1,2,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
233,39,1,0,2,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
234,52,8,0,6,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
235,44,1,0,5,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
236,56,2,0,1,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
237,48,1,0,2,0,0,0,0.0,5,1,2,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
238,33,4,0,2,0,0,1,0.0,5,1,2,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
239,43,5,0,6,0,0,1,0.0,5,1,3,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
240,57,6,0,2,0,0,0,0.0,5,1,2,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
241,36,3,1,5,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
